MEL|-37.83,144.98,7|2015-12-23T05:02:12Z|-1.0282488685|1059.3566094|46.0222629664|Cloudy
LHR|51.50,-0.12,25|2015-12-23T05:12:12Z|31.3259953106|1039.50121909|68.469864686|Snow
SYD|-33.86,151.21,39|2015-12-23T05:22:12Z|11.1728245883|1080.17047073|61.4615010904|Cloudy
MEL|-37.83,144.98,7|2015-12-23T05:32:12Z|14.2615920914|1045.89832075|45.6686811504|Cloudy
JFK|40.71,-74.01,4|2015-12-23T05:42:12Z|11.9674376649|1057.58595539|66.6276003365|Cloudy
LHR|51.50,-0.12,25|2015-12-23T05:52:12Z|6.30512712159|1111.46321089|88.2807876278|Rain
LHR|51.50,-0.12,25|2015-12-23T06:02:12Z|2.57829000455|1118.4465125|58.7751731625|Cloudy
ADL|-34.92,138.62,48|2015-12-23T06:12:12Z|13.2961617025|1075.08863172|69.9531302255|Cloudy
PEK|39.90,116.40,35|2015-12-23T06:22:12Z|14.2757758327|1040.00397599|54.2366880685|Cloudy
PER|-31.95,115.86,20|2015-12-23T06:32:12Z|6.303941063|1065.56401578|62.1695128032|Cloudy
PEK|39.90,116.40,35|2015-12-23T06:42:12Z|16.5381114288|1107.30705023|18.2790190724|Sunny
PER|-31.95,115.86,20|2015-12-23T06:52:12Z|27.2052631008|1014.84587405|52.6519693796|Cloudy
TYO|35.68,139.69,11|2015-12-23T07:02:12Z|33.4932306039|1036.24564471|59.9086309623|Cloudy
PEK|39.90,116.40,35|2015-12-23T07:12:12Z|11.9603033398|1096.23429261|48.3985950135|Cloudy
PER|-31.95,115.86,20|2015-12-23T07:22:12Z|15.4135849433|1089.42941802|50.3365411846|Cloudy
SYD|-33.86,151.21,39|2015-12-23T07:32:12Z|15.5287833152|1033.82704889|27.5618254076|Sunny
HBA|-42.88,147.32,4|2015-12-23T07:42:12Z|32.7341557541|991.70167342|59.7609066499|Cloudy
JFK|40.71,-74.01,4|2015-12-23T07:52:12Z|27.0063076145|1055.20269127|48.7258555676|Cloudy
MEL|-37.83,144.98,7|2015-12-23T08:02:12Z|12.9381024891|1051.0173222|51.8582702818|Cloudy
LHR|51.50,-0.12,25|2015-12-23T08:12:12Z|-9.20803160648|1008.26344715|87.0603526799|Snow
ADL|-34.92,138.62,48|2015-12-23T08:22:12Z|20.7656038154|1033.12125003|19.6627857498|Sunny
ADL|-34.92,138.62,48|2015-12-23T08:32:12Z|19.1800597212|1059.68332577|53.0002436763|Cloudy
